date,Ticker,net_profit_to_total_revenue,DECM,ROE,ROA,ACCA,GMI,financial_liability,net_profit,EBIT,LTD/TA,WCR,QR,EV/OCL,D/E,P/E,P/S,PriceToCashFlow,priceToBook,open,high,low,close,volume,net_asset_per_share,net_operate_cash_flow_per_share,eps,retained_earnings_per_share,cashflow_per_share,market_cap,PEG,net_profit_growth_rate,total_revenue_growth_rate,net_asset_growth_rate,net_operate_cashflow_growth_rate,VOL20,DAVOL20,VOSC,VMACD,ATR14,beta,liquidity,growth,momentum,Variance60,sharpe_ratio_20,Kurtosis60,Skewness60,sharpe_ratio_60,ROC60,Volume1Q,TRIX30,Price1Q,PLRC36,MAC60,boll_up,boll_down,MFI42
2023-02-28,ACN,0.0963470834172771,0.48756196900268106,0.0641195316055019,0.031924042448755054,-0.016897314238820477,-0.023600919979876345,23270011000,1523648000,1944581000,0.48756196900268106,0.04882135668757553,0.7903783433174248,0.10013364411387687,0.9792696251200257,27.486815981422545,10.593098208949854,71.8939693370187,7.049767064221751,264.69,268.49,262.75,265.55,2160426,37.66791123464092,3.693633867330044,2.42,27.74056530865252,3.5231514589110406,167520928785.85,0.7756410256410255,0.7754131148375276,1.0042136674057751,1.0342990791008388,3.7035131348935604,0.0163556680762383,1842499.7,-14799.116666666698,-83286.49478536821,4.737142857142844,0.010512455899470533,2175225.1166666667,-0.11490857013921674,-0.0019151428356536124,0.00033785896991850637,-0.3978490175930296,0.368196756164638,-0.38013713743655075,-0.9260743041379202,-0.11756886983683912,130513507.0,7.694447599915222e-05,-35.379999999999995,0.059838728758418114,-1.3730705745410319,299.3912051932325,256.94846147343424,51.708160874136375
2023-05-31,ACN,0.12134297357887323,0.4800952356728812,0.07934477350397204,0.04009705101561943,-0.025522023249353782,0.028064725659791012,24066346000,2009996000,2359288000,0.4800952356728812,0.06561907426497321,0.7596121484480294,0.13667928650240466,0.9500211803596741,24.029803636305747,11.663391310983041,58.73440142782314,7.626557307470413,304.68,310.35,303.0,305.92,5270111,40.11246328672353,5.2085318410188535,3.18,29.597905429056695,4.984474641176036,193199236759.04,1.3140495867768596,1.3191997101692778,1.0474528583817109,1.0660622467582381,0.4116799585942472,0.015272523708834014,2916691.2,2484810.966666667,255622.16414466966,6.107857142857147,0.010754990036193872,2785300.033333333,0.1346830567629389,0.0022447176127156484,0.000284426241894839,0.008161050189707482,4.216687208625906,1.1200010349357545,-0.7626623765122796,0.13459184808812083,167118002.0,0.0005830012021790232,36.29000000000002,-0.0034327763577266523,4.046827150554805,302.6471121531008,248.01888784689916,52.01074725908216
2023-08-31,ACN,0.0858896354127568,0.4836874714668983,0.053437574570875564,0.026791976357639007,-0.03973876240955147,-0.009636969151641472,24786712000,1372963000,1912920000,0.4836874714668983,0.06653073876719048,0.7649066636638892,0.1375490222341713,0.9647323131554283,37.136826175918436,12.75867384254623,59.8201064554313,7.938007672405139,324.87,326.23,323.71,323.77,1986300,40.78731255520452,5.412394246426548,2.18,30.664453456246815,5.126178008126529,203949953107.87,0.6855345911949686,0.683067528492594,0.9650226673351612,1.0142271383271506,0.03648630695655797,0.010062019928309738,1541970.45,-92808.4833333334,-289011.0422047307,4.3285714285714345,0.008320632740630485,2079108.4833333334,0.053484271868409095,0.0008914045311401515,0.00012402914112579294,-0.39016837911659114,-0.05022475562602429,-0.14215282594719134,-1.276445822412488,0.05106479677963888,124746509.0,0.000975301341622048,15.729999999999961,0.0033576172068590093,6.758397876036042,325.28852762773386,300.36080570559943,54.048066881717
2023-11-30,ACN,0.12163505575555388,0.46662691999127365,0.07397617498472733,0.03829598577984192,0.02862127395294135,0.011637255995873952,24045917000,1973444000,2564887000,0.46662691999127365,0.00967471182690057,0.8161434731587545,0.020733291227778918,0.9013810190004022,26.503238047106983,12.8948913502503,419.637357900275,7.842432701738678,334.2,335.0,332.16,333.14,4298156,42.479165925917655,0.7938759353240644,3.14,32.53111387500296,0.6841093320082678,209210624418.53998,1.4403669724770642,1.4373613855580958,1.0149577734404325,1.0382951841172554,-0.8537711166930839,0.009764584834273674,1772663.35,2342125.05,-71066.75967867207,3.6528571428571417,0.007956089751117187,1956030.95,0.025669453322383018,0.00042782422203971695,0.0001654510644974337,0.01845285333426486,1.6890378522365297,-0.9875551144272741,-1.1412114270495293,0.020962304627643195,117361857.0,0.0004222847942374486,6.839999999999975,0.00239426798724951,5.144419124451645,337.05893487369326,289.8050651263068,53.7841788967466
2022-03-04,ADBE,0.2970436414828719,0.46970280258700337,0.09190562613430127,0.04873729596550662,-0.01936402833384663,0.003226270521704322,12201000000,1266000000,1580000000,0.46970280258700337,0.06810132429935326,0.39535429375879866,0.14498811572821899,0.8857350272232305,42.23094194312796,50.17773111215392,120.89174109666479,15.525044646098005,455.49,463.52,447.0,452.13,2752177,29.122621564482028,3.7399577167019027,2.67,52.77167019027484,3.528541226215645,213857490000.0,1.0308880308880308,1.02676399026764,1.0369829683698297,0.9309319456646618,-0.13623046875,0.02845091894184905,3721480.2,-1079201.2833333332,133162.1469558361,17.43222142857142,0.01915764190369601,3831378.283333333,-0.33672741860327526,-0.005612123643387921,0.0008385159501690855,-0.37662351661539584,2.3433032783452266,-0.41534063663554865,-0.7155091103764646,-0.30437257677395535,229882697.0,-0.004307550314262221,-197.83000000000004,-0.07070440196183259,-34.62105641028904,633.1104485352121,416.9485514647879,39.287990669056086
2022-06-03,ADBE,0.26858185134518925,0.4687761148674314,0.08423310690025027,0.044746638304337914,-0.03274329560130669,-0.0027596231599926746,12341000000,1178000000,1529000000,0.4687761148674314,0.07748993390564461,0.36206110351117193,0.16530264970423791,0.882445477297104,43.04896434634975,46.24868217054264,99.43466666666666,14.504592062924562,430.71,438.01,427.255,429.76,2355536,29.62923728813559,4.322033898305085,2.5,55.13135593220339,4.055084745762712,202846720000.0,0.9363295880149813,0.9304897314375987,1.029094321914594,1.01524500907441,0.15319389485585067,0.029374561614347514,3481736.65,-1194463.683333333,-64481.59083108697,14.510385714285718,0.015676360084807144,3549999.683333333,-0.02143537863361078,-0.00035725631056017965,0.000890919862882789,-0.03653292466284715,0.19928969443497213,-0.34587384018977735,-0.5180944993234677,-0.04682059130126203,212999981.0,-0.0028557975372432987,-21.110000000000014,-0.04237580481810388,-22.46777673068084,469.7647711755458,375.8722288244543,38.63985297089298
2022-09-02,ADBE,0.25625986916309496,0.46257104397247983,0.07903708342030195,0.0424768172300329,-0.02123840861501645,-0.0002761385533549543,12371000000,1136000000,1484000000,0.46257104397247983,0.06371522584504935,0.3886758402887435,0.13774149219949883,0.8607110554511932,37.99684419014084,38.94826528310399,101.32491784037558,12.012638975857511,374.53,382.0,365.43,368.14,2450520,30.646055437100213,3.633262260127932,2.42,57.90618336886994,3.366737739872068,172657660000.0,0.968,0.9643463497453311,1.0107159142726858,1.0277440114408294,-0.16470588235294115,0.019151214822886203,2257255.7,-231905.75,-249158.47024523932,10.343971428571425,0.017856486579324257,2682425.75,-0.13554102246291622,-0.0022590170410486036,0.0005648246840255639,-0.6769260776130005,0.7952817039257727,-0.664690088104637,-0.7307060992421832,-0.14154463203059414,160945545.0,0.0006467919034476299,-60.69999999999999,0.09466646706230053,-5.778953463050129,448.13995765410095,343.5198756792324,48.3191514658191
2022-12-02,ADBE,0.25988950276243095,0.4827535431621572,0.08369511066827984,0.04329099944781888,-0.04229707344008835,-0.002357706453233077,13114000000,1176000000,1505000000,0.4827535431621572,0.08558807288790723,0.456353591160221,0.17729144425804483,0.9333143548501885,33.78324905083333,35.119647190081764,68.35114130542796,11.309971072174221,337.2,343.5276,334.2225,341.53,2741993,30.19724788158494,4.996697838209735,2.53,60.860854228069456,4.801128159380881,158916403535.12,1.0454545454545454,1.0352112676056338,1.0207534401082787,0.9775968830445975,0.36443661971830976,0.03182905860219196,3302631.9,-1781385.25,-203774.78836784512,10.153335714285706,0.013587080304982057,4523378.25,-0.07874435754760356,-0.001312405959126726,0.001217335620465754,0.13751226477951317,8.96790277656919,-1.4464112684766368,-0.4705996299705842,-0.10974115684383397,271402695.0,-0.001570942870427916,-42.10000000000002,0.1128448560389852,-10.45062675807776,369.4510525982407,255.86328073509264,63.54261981407866
2023-03-03,ADBE,0.2678839957035446,0.46728165897926277,0.08777981134731803,0.04676191547605655,-0.016724790940113247,0.0035055278290437863,12461000000,1247000000,1586000000,0.46728165897926277,0.0634867064161698,0.3868958109559613,0.13586389535350293,0.8771645783471772,31.738007347241382,34.00841689538991,93.50808071354992,11.143825189922568,334.69,344.76,334.4835,344.04,3725472,30.872702517903598,3.6792542139103754,2.71,63.96860471733721,3.4597594261933358,158309180648.04,1.0711462450592886,1.060374149659864,1.0287292817679559,1.011031243327877,-0.27182795698924733,0.024738528124950254,3001587.6,846880.7000000002,-25601.91790696513,8.146528571428576,0.014991826038488466,2878591.3,0.043247815599610884,0.0007207969266601814,0.0004664831623057872,-0.454617446199907,1.4167783951060056,-0.6775119112900836,-0.6660815556119182,0.029782393965698005,172715478.0,0.0014794916918432488,9.950000000000045,0.05566381261686848,2.395863020441425,386.2142758198072,311.1800575135262,50.212698310443265
2023-06-02,ADBE,0.2688953488372093,0.46698757094618865,0.0872759131958485,0.046519146490408794,-0.03031826999066025,0.003248569929807932,13000000000,1295000000,1624000000,0.46698757094618865,0.07683741648106904,0.349875415282392,0.16453846153846155,0.8761288583367031,38.582521235521234,41.498642026578075,93.4349976624591,13.46929909691333,432.0,438.5308,430.36,436.37,4334768,32.39737991266376,4.670305676855895,2.83,66.83187772925764,4.406113537117904,199857460000.0,1.044280442804428,1.0384923817161187,1.0345864661654136,1.044488244403773,0.2634376845835795,0.024368880648176255,3883396.65,1013820.0833333335,350418.1835674755,11.72491428571428,0.01966250716750587,3320947.9166666665,0.24839752679016425,0.004139958779836071,0.0005280235206205678,0.34653032090137675,1.6069800188365306,0.41823094179036996,-0.4772674346267685,0.26176844783715025,199256875.0,0.0005652690838695573,90.53000000000003,0.0050735804338226664,9.685499375021891,415.71339502064563,322.1119383126877,59.62827001852221
2023-09-01,ADBE,0.2869120654396728,0.4576830525953936,0.08893255578093306,0.0482296321760055,-0.01615675489859058,0.0001613571666360114,13314000000,1403000000,1697000000,0.4576830525953936,0.06438638707459608,0.37852760736196317,0.14067898452756497,0.8439401622718052,45.763321454027086,52.52019631901841,137.11893219434063,16.279396551724137,564.8,569.98,558.517,563.21,2234067,34.59649122807018,4.107456140350878,3.07,70.20175438596492,3.9078947368421053,256823760000.00003,1.0848056537102473,1.0833976833976835,1.0153654485049834,1.0632160668553714,-0.1243571762505844,0.01706179856303905,2177298.2,-1162142.0499999998,-397125.0645044972,12.93152857142856,0.018058066367488617,3396209.05,0.3074520476540201,0.005124200794233669,0.0003174615415318659,-0.08983344611828152,-0.0621355757242379,0.12081225147667164,-0.5602806625490389,0.34636163702428774,203772543.0,0.0035973293560378483,144.89000000000004,0.01633759494105913,33.369382434459624,558.9246374788124,459.5073625211877,72.18836376613083
2023-12-01,ADBE,0.2937797147385103,0.4453138117465328,0.08978084513863664,0.04980019476812519,-0.003828201081298902,-0.006984887817240715,13261000000,1483000000,1743000000,0.4453138117465328,0.05362839584942409,0.4405705229793978,0.12042832365583289,0.8028211647899262,46.97805967633176,55.204803882725834,174.49834063869756,16.87091960285749,609.24,615.2,603.18,612.47,2490500,36.3032967032967,3.50989010989011,3.26,73.28791208791209,3.4065934065934065,278673850000.0,1.0618892508143323,1.0570206699928724,1.0323108384458077,1.0470334685598377,-0.14735718099305928,0.0144236226713304,2506523.5,-262645.2000000002,-159926.5223382078,11.42670000000003,0.014973324930670776,2753145.2,0.09866046463772793,0.0016443410772954655,0.00033297128378595886,-0.021403393028660022,0.17987911492875813,-0.3649933403862684,-0.7377795379617825,0.09279877243692679,165188712.0,0.0023949065685493487,52.00999999999999,0.044367361123739624,29.275221317103956,629.7219221764318,481.94907782356796,63.984031874277655
2022-01-31,ADSK,0.07353912182238362,0.901345447785472,0.10493463667412554,0.010352279592880048,-0.07362782915833992,0.0017021753534158801,7757700000,89100000,142400000,0.901345447785472,0.08398010875121996,0.5910366457576758,0.09317194529306366,9.136379696148863,153.63066217732884,45.1914559260482,75.75258439402324,64.48471087033329,239.71,249.91,239.29,249.79,1398422,3.8736313868613137,3.2974452554744524,0.41,-8.895985401459853,3.2636861313868613,54753968000.0,0.6612903225806451,0.6517922457937089,1.0762124711316396,0.6634112040003125,1.673076923076923,0.028687550650485397,1777544.8,-360311.0,84516.9969612963,11.089021428571431,0.019420332465265238,1758733.0,-0.18139727179899168,-0.003023287863316528,0.0009341769798191152,-0.3667417890766771,9.264667073323608,-2.039462017999389,-0.5931840848450993,-0.18996659856665699,105523980.0,-0.0024622301233000465,-58.58000000000001,-0.0426353549611721,-10.539375797251182,335.19350218660225,220.1554978133978,48.317832940193604
2022-04-30,ADSK,0.12478632478632479,0.917564459508534,0.2143906020558003,0.017673405156760684,-0.03486260743251422,-0.006569825024760667,7580000000,146000000,214000000,0.917564459508534,0.05253601258927491,0.3282051282051282,0.05725593667546174,11.130690161527166,70.33178082191782,35.105777777777774,94.64,60.31389133627019,193.71,196.6,188.76,189.28,1425848,3.1382488479262673,2.0,0.67,-9.87557603686636,1.9262672811059909,41073760000.0,1.6341463414634148,1.638608305274972,0.9656652360515021,0.8020256742433165,-0.399557277255119,0.031740380025351254,1495404.8,-413737.93333333335,-59060.18844535784,8.367250000000002,0.01990183923724076,1839585.9333333333,-0.2430289489753673,-0.004050482482922789,0.0009070051388689169,-0.3384021780787626,0.015101322095657012,0.6274994814505817,-0.6361110916286843,-0.23677419354838708,110375156.0,-0.003572010063320641,-58.72,-0.008498199488047198,-15.102206740976044,242.39745422882658,179.45621243784012,38.28021592182051
2022-07-31,ADSK,0.15036378334680678,0.9100522669259754,0.25135135135135134,0.022608484259146713,-0.008630120335480735,0.003799514955537542,7487000000,186000000,242000000,0.9100522669259754,0.031238604594627448,0.35084882780921584,0.034326165353279016,10.117567567567567,63.62416666666667,38.26708164915117,184.18824902723733,63.96808108108108,211.89,217.65,211.214,216.32,1780190,3.410138248847926,1.1843317972350231,0.86,-10.046082949308756,1.1290322580645162,46941440000.0,1.2835820895522387,1.273972602739726,1.0572649572649573,1.0866372980910426,-0.40783410138248843,0.025367845241032926,1423658.3,-43123.81666666665,-98310.11615184415,6.609921428571432,0.016803150633629256,1823313.8166666667,0.15083103512798146,0.002513850585466358,0.0012946473351518487,0.26925494595638305,0.21131176665816678,0.4107624421373085,-0.3499916717139876,0.11955284132077422,109398829.0,-0.0015918751312726798,23.099999999999994,-0.11591929333397688,-4.767990463172907,215.44268403571385,160.96764929761946,52.71133956402051
2022-10-31,ADSK,0.1546875,0.8950781702374059,0.2185430463576159,0.022929936305732482,-0.03138390272148234,0.002450485044462436,7729000000,198000000,256000000,0.8950781702374059,0.05431383902721482,0.5015625,0.06068055375857161,8.530905077262693,58.44545454545455,36.163125,98.69680170575694,51.091390728476824,214.76,216.29,214.0,214.3,965042,4.194444444444445,2.1712962962962963,0.92,-9.722222222222221,2.125,46288800000.0,1.0697674418604652,1.064516129032258,1.0347615198059823,1.2243243243243243,0.8249027237354085,0.025426881810069243,1339802.8,-390464.0166666666,-96724.22916889843,7.282500000000005,0.013898430833628144,1355506.0166666666,-0.018621375663103956,-0.0003103562610517326,0.0005184555446055886,0.026962856171300998,-0.1068884641640973,-0.039938512703050384,-0.6771009249356228,-0.03337843933243111,81330361.0,-0.0004057061641358217,-7.399999999999977,-0.06117856093054508,0.5142655401103298,232.32105160632875,178.88461506033792,58.192300142021885
2023-01-31,ADSK,0.22230652503793627,0.8786819241364696,0.25589519650655024,0.03104471286289468,-0.06547997457088366,-0.00033194233687405816,8293000000,293000000,277000000,0.8786819241364696,0.09652468743377834,0.7291350531107739,0.10985168214156518,7.242794759825328,39.6540614334471,35.261426403641885,51.014884742041716,40.58913537117904,210.33,215.55,208.89,215.16,1633328,5.300925925925926,4.217592592592593,1.36,-9.23611111111111,4.180555555555555,46474560000.0,1.4782608695652175,1.47979797979798,1.0296875,1.2637969094922736,0.9424307036247335,0.02208160012286793,1182019.45,71622.1499999999,-123565.8175985117,5.4655142857142875,0.015247504518865132,1561705.85,0.10200481062798972,0.001700080177133162,0.0009037902193065964,0.10382213952792892,7.658131314739341,1.80704460786784,-0.44595839460266595,0.07914535058681915,93702351.0,-0.0004911381617564992,15.780000000000001,0.014591450869510414,0.2814131764001502,222.29733954915906,177.4279937841743,49.06570517755321
2023-04-30,ADSK,0.12687155240346729,0.901091630830301,0.1794871794871795,0.01775278420994597,-0.061969346124159226,-0.005996859869587756,8172000000,161000000,217000000,0.901091630830301,0.07972213033410519,0.26083530338849487,0.08847283406754772,9.110367892976589,65.59169254658386,33.28687943262411,58.4246887966805,47.09147157190636,189.42,194.9,188.445,194.79,1138741,4.1720930232558135,3.3627906976744186,0.75,-10.56279069767442,3.2930232558139534,41879850000.0,0.551470588235294,0.5494880546075085,0.9628224582701063,0.7834061135371179,-0.20636663007683864,0.01612859354505202,1279608.1,-316290.6166666667,-72293.70354366419,4.33778571428572,0.018364149675819536,1455031.6166666667,-0.11299040084966283,-0.0018831733474943804,0.0005999879381821286,-0.4095871085170617,11.399717915684466,-2.382401041259508,-0.69362682288265,-0.12331788109275847,87301897.0,-0.0008505125486077958,-27.400000000000006,-0.032121493651492194,-2.730626540334441,227.45433307679355,181.76366692320642,50.61718343491488
